ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
36,New York,NY,36055,Monroe County,36055,"Monroe County, New York",656.94368809808,756406,0,336324,295,314727,1160,151880,4145,20782,1174,88059,2319,45395,1745,23700,1723,135497,37,154969,51,106295,2779,23446,1294,16388,1219,236228,880,36217,1522,3005,499,4441,496,34403,1557,27528,372,20.7,0.6,5.3,0.3,28.0,0.7,8.6,0.3,3.2,0.2,17.9,0.1,20.5,0.1,14.2,0.4,7.4,0.4,2.3,0.2,31.2,0.1,10.8,0.5,0.9,0.1,1.4,0.2,10.9,0.5,3.6,0.0,0.4754,0.4918,0.8361,0.377,0.0984,2.2787,0.459,0.2951,0.623,0.3934,0.9836,0.8033,3.0984,0.8852,0.8033,0.8033,0.8033,0.8033,0.1475,0.4262,0.7377,0.4098,2.5245,0.4918,8.7049,0.6557,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,825055,35926,1358,106306,1440,72266,0,28154,731,683,130,139,39,26223,1860,2457,634,11.4,0.4,14.1,0.2,9.6,0.0,3.7,0.1,0.1,0.1,0.0,0.1,3.5,0.2,0.3,0.1
36,New York,NY,36057,Montgomery County,36057,"Montgomery County, New York",403.11081047877,49624,0,22924,45,18918,389,13115,924,1386,289,5293,425,3849,383,2755,604,9349,51,11377,8,8071,600,1268,189,998,299,10720,254,1020,257,1572,224,308,116,2429,302,1125,21,26.8,1.9,5.9,1.2,28.0,2.2,11.2,1.1,5.6,1.2,18.8,0.1,22.9,0.1,16.5,1.2,6.7,1.0,2.1,0.6,21.6,0.5,4.5,1.1,6.9,1.0,1.6,0.6,12.8,1.6,2.3,0.0,0.9016,0.6885,0.8361,0.6885,0.8197,3.9344,0.9344,0.4262,0.918,0.8197,0.9344,0.7869,3.8852,1.0,0.6721,0.6721,0.6721,0.4262,0.4918,0.541,0.8689,0.2787,2.6066,0.541,11.0983,0.9508,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3,46943,3708,375,1312,145,7650,0,369,85,51,43,9,11,1262,295,67,46,19.6,2.0,2.6,0.3,15.4,0.0,0.7,0.2,0.1,0.1,0.0,0.1,2.5,0.6,0.1,0.1
36,New York,NY,36059,Nassau County,36059,"Nassau County, New York",284.541978569688,1389160,0,476982,195,454771,1355,124466,5053,34340,1515,92043,2609,79428,2247,54648,3022,250475,59,297719,0,121102,2876,18224,1103,63757,2529,601457,1453,51515,1602,1192,243,13134,950,29807,1496,19491,222,9.1,0.4,4.6,0.2,20.2,0.6,8.2,0.2,4.0,0.2,18.0,0.1,21.4,0.0,8.8,0.2,4.1,0.2,4.8,0.2,43.3,0.1,10.8,0.3,0.2,0.1,2.9,0.2,6.6,0.3,1.4,0.0,0.0,0.2295,0.0656,0.2295,0.4098,0.9344,0.0656,0.3115,0.7869,0.0,0.2131,0.8689,2.1804,0.3607,0.918,0.918,0.918,0.8033,0.0328,0.8525,0.1967,0.0164,1.9017,0.1803,5.9345,0.1803,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1394877,32006,1488,154116,1903,243684,0,155496,1561,1130,323,203,97,34209,2395,12619,1700,7.0,0.3,11.1,0.1,17.5,0.0,11.2,0.1,0.1,0.1,0.0,0.1,2.5,0.2,0.9,0.1
36,New York,NY,36061,New York County,36061,"New York County, New York",22.65796343576,1645867,0,913058,441,772601,4457,355158,8027,64535,2909,222057,4886,146231,4273,74860,3930,284256,103,235675,143,181813,4558,36720,2054,126474,4384,896067,1647,818482,5078,522,199,42068,2482,601621,5689,68812,851,22.2,0.5,6.8,0.3,28.7,0.6,11.5,0.3,4.6,0.2,17.3,0.1,14.3,0.1,11.1,0.3,4.8,0.3,8.0,0.3,54.4,0.1,89.7,0.6,0.1,0.1,5.4,0.3,77.9,0.5,4.2,0.1,0.6393,0.8689,0.8689,0.7541,0.623,3.7542,0.9016,0.1639,0.0164,0.1311,0.4098,0.9508,1.672,0.0984,0.9508,0.9508,0.9508,1.0,0.0,0.9344,1.0,0.5246,3.459,0.9836,9.836,0.8525,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,3,5,3406394,80193,2665,203409,2371,428297,0,197451,1972,1637,407,471,215,53491,3135,11311,2172,10.4,0.3,12.4,0.1,26.0,0.0,12.0,0.1,0.1,0.1,0.0,0.1,3.3,0.2,0.7,0.1
36,New York,NY,36063,Niagara County,36063,"Niagara County, New York",522.35259269112,212230,0,100182,161,90982,763,42049,2290,6155,705,21728,1054,12676,1010,4912,555,41892,0,42089,0,32134,1147,5888,540,1542,373,34840,466,7004,540,3624,348,1011,229,9704,719,3997,57,20.2,1.1,5.8,0.6,23.9,1.1,8.3,0.7,2.3,0.3,19.7,0.0,19.8,0.0,15.3,0.5,6.5,0.6,0.8,100.0,16.4,0.2,7.0,0.5,3.6,0.3,1.1,0.3,10.7,0.8,1.9,0.0,0.4098,0.6721,0.459,0.2459,0.0,1.7868,0.2787,0.6066,0.4426,0.6066,0.918,0.4426,3.0164,0.8361,0.5738,0.5738,0.5738,0.6393,0.2951,0.1639,0.7213,0.1967,2.0163,0.2787,7.3933,0.4262,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,189985,11812,741,13571,645,7542,0,2474,231,1256,203,32,38,9402,760,563,230,13.0,0.8,6.4,0.3,3.6,0.0,1.2,0.1,0.6,0.1,0.0,0.1,4.4,0.4,0.3,0.1
36,New York,NY,36065,Oneida County,36065,"Oneida County, New York",1212.442723587856,231055,0,105054,133,92944,701,52025,2368,4771,554,21918,1107,17767,857,7531,914,44289,25,49228,63,32735,1350,6200,592,5865,683,45505,512,8047,650,5675,596,1959,342,9854,674,11814,185,23.6,1.1,4.4,0.5,23.6,1.2,11.1,0.5,3.4,0.4,19.2,0.1,21.3,0.1,14.6,0.6,6.7,0.6,2.7,0.3,19.7,0.2,7.7,0.6,5.4,0.6,2.1,0.4,10.6,0.7,5.1,0.1,0.7541,0.1803,0.4098,0.6721,0.1803,2.1966,0.4262,0.5246,0.7705,0.4918,0.9344,0.8197,3.541,0.9344,0.6393,0.6393,0.6393,0.6885,0.3934,0.7705,0.7049,0.6721,3.2294,0.9016,9.6063,0.8197,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,245789,12253,731,12934,807,14936,0,9793,399,355,73,113,54,6915,1018,459,274,13.2,0.8,5.6,0.3,6.5,0.0,4.2,0.2,0.2,0.1,0.0,0.1,3.0,0.4,0.2,0.1
36,New York,NY,36067,Onondaga County,36067,"Onondaga County, New York",778.392365249498,472637,0,211312,179,192785,871,98031,3202,13526,946,48845,1517,28017,1160,16201,1197,84343,16,99353,32,65297,2005,12463,766,7643,682,117443,717,28588,1196,2525,360,3057,439,23594,1069,20234,353,21.6,0.7,5.6,0.4,25.3,0.8,8.6,0.4,3.5,0.3,17.8,0.1,21.0,0.1,13.9,0.4,6.4,0.4,1.7,0.2,24.8,0.2,13.6,0.6,1.2,0.2,1.6,0.2,12.2,0.5,4.3,0.1,0.5246,0.6066,0.5738,0.377,0.2295,2.3115,0.4754,0.2623,0.7049,0.3607,0.8689,0.7049,2.9017,0.7869,0.7049,0.7049,0.7049,0.9016,0.1803,0.541,0.8033,0.5574,2.9836,0.7705,8.9017,0.6885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,534350,24493,1220,49227,1173,25562,0,18857,501,1894,283,78,46,20132,1300,1693,475,12.7,0.6,10.4,0.2,5.4,0.0,4.0,0.1,0.4,0.1,0.0,0.1,4.3,0.3,0.4,0.1
36,New York,NY,36069,Ontario County,36069,"Ontario County, New York",644.07493932624,112288,0,52636,84,47080,556,17470,1424,2278,259,10371,790,5329,585,3683,524,23610,168,21901,0,16147,770,2389,330,808,251,13217,382,3790,411,3611,340,570,169,3064,353,3807,85,16.0,1.3,4.0,0.5,22.0,1.7,6.7,0.7,3.3,0.5,21.0,0.1,19.5,0.0,14.5,0.7,5.1,0.7,0.8,0.2,11.8,0.3,7.2,0.8,6.9,0.6,1.2,0.4,6.5,0.7,3.4,0.1,0.0984,0.0492,0.1967,0.0328,0.1148,0.4919,0.0164,0.8033,0.3934,0.4262,0.5246,0.4426,2.5901,0.5738,0.459,0.459,0.459,0.6557,0.4918,0.2623,0.1639,0.3934,1.9671,0.2295,5.5081,0.1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117376,4864,435,2128,258,5852,0,1588,155,77,44,0,31,3167,401,405,273,10.3,0.9,1.9,0.2,5.2,0.0,1.4,0.1,0.1,0.1,0.0,0.1,2.8,0.4,0.4,0.2
36,New York,NY,36071,Orange County,36071,"Orange County, New York",812.077850455782,401237,0,147158,122,135140,946,79300,4024,10387,828,39999,1667,26439,1357,19296,1348,56715,30,101997,47,45614,1986,7961,732,20003,1318,158600,1219,15425,964,2580,408,5155,619,11623,974,10845,340,20.2,1.0,5.3,0.4,29.6,1.2,10.3,0.5,4.9,0.3,14.1,0.1,25.4,0.1,11.6,0.5,5.9,0.5,5.3,0.4,39.5,0.3,10.5,0.7,1.8,0.3,3.9,0.5,8.6,0.7,2.7,0.1,0.4098,0.4918,0.918,0.5902,0.6721,3.0819,0.7049,0.0164,0.9836,0.1803,0.7377,0.8852,2.8032,0.7541,0.8852,0.8852,0.8852,0.7869,0.2459,0.8852,0.4098,0.3279,2.6557,0.5738,9.426,0.7869,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,383349,16830,1157,41945,1138,89494,0,11358,461,459,122,62,51,13296,1579,1986,654,12.5,0.9,10.5,0.3,22.3,0.0,2.8,0.1,0.1,0.1,0.0,0.1,3.3,0.4,0.5,0.2
36,New York,NY,36073,Orleans County,36073,"Orleans County, New York",391.26214705195,40148,0,18244,56,16201,301,8405,736,1153,296,4226,455,4064,466,2067,396,7343,87,7690,67,5916,542,987,208,448,216,5859,165,359,123,1791,269,180,74,1236,260,2446,102,22.0,1.9,6.1,1.6,26.1,2.8,13.9,1.5,5.4,1.0,18.3,0.2,19.2,0.2,15.5,1.4,6.0,1.3,1.2,0.6,14.6,0.4,2.0,0.7,9.8,1.5,1.2,0.5,7.6,1.6,6.1,0.3,0.5902,0.7541,0.6885,0.9016,0.7541,3.6885,0.8852,0.3443,0.3443,0.6885,0.7705,0.623,2.7706,0.7213,0.5082,0.5082,0.5082,0.0492,0.6885,0.2623,0.3115,0.7869,2.0984,0.3115,9.0657,0.7213,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34750,2263,342,2137,173,2122,0,270,49,122,56,0,28,1155,239,53,37,14.0,2.1,5.3,0.4,5.3,0.0,0.7,0.1,0.3,0.1,0.0,0.1,2.9,0.6,0.1,0.1
